player_id,player_url,stats_url,player_name_clean,bat_matches,bat_innings,bat_not_out,bat_runs,bat_highest_runs,bat_avg,bat_sr,bat_30s,bat_50s,bat_100s,bat_4s,bat_6s,bowl_matches,bowl_innings,bowl_overs,bowl_maidens,bowl_wickets,bowl_runs_conceded,bowl_best_bowling,bowl_3w,bowl_5w,bowl_economy,bowl_avg,bowl_sr,bowl_wides,bowl_noballs,bowl_dot_balls,bowl_4s,bowl_6s,field_matches,field_catches,field_stumpings,field_run_outs,field_assisted_run_outs,field_caught_behind
11351830,https://cricheroes.com/player-profile/11351830/devansh-hakani,https://cricheroes.com/player-profile/11351830/devansh-hakani/stats,Devansh,90,86,16,863,41,12.33,134.01,4,0,0,36,60,90,46,44.4,0,24,476,02-Mar,0,0,10.66,19.83,11.17,20,16,85,24,31,90,11,0,14,10,0
13037382,https://cricheroes.com/player-profile/13037382/dhairya-panchsheel,https://cricheroes.com/player-profile/13037382/dhairya-panchsheel/stats,Dhairya,50,42,10,243,21,7.59,102.53,0,0,0,22,4,50,49,48.5,0,41,399,03-Jan,4,0,8.17,9.73,7.15,34,1,132,25,17,50,7,0,12,0,0
12957941,https://cricheroes.com/player-profile/12957941/dharmil-pg-per,https://cricheroes.com/player-profile/12957941/dharmil-pg-per/stats,Dharmil,26,25,3,215,23,9.77,126.47,0,0,0,13,14,26,5,4.3,0,2,64,01-Apr,0,0,14.22,32,13.5,4,1,4,4,4,26,2,0,0,0,0
13060265,https://cricheroes.com/player-profile/13060265/dhaval-doshi,https://cricheroes.com/player-profile/13060265/dhaval-doshi/stats,Dhaval,261,224,33,1417,42,7.42,127.66,4,0,0,36,111,261,71,68.5,1,49,763,03-May,3,0,11.08,15.57,8.43,79,72,166,15,40,261,65,6,24,2,0
21341374,https://cricheroes.com/player-profile/21341374/dhruv-shah,https://cricheroes.com/player-profile/21341374/dhruv-shah/stats,Dhruv,43,37,7,177,23,5.9,106.63,0,0,0,17,11,43,20,20,0,18,192,02-Aug,0,0,9.6,10.67,6.67,19,5,54,10,12,43,7,0,7,1,0
12135014,https://cricheroes.com/player-profile/12135014/dilip-s-pandey,https://cricheroes.com/player-profile/12135014/dilip-s-pandey/stats,Dilip,119,108,25,908,41,10.94,136.34,2,0,0,51,68,119,90,87.4,0,75,733,04-Feb,3,0,8.36,9.77,7.01,47,18,226,29,54,119,53,4,21,2,5
17529483,https://cricheroes.com/player-profile/17529483/dinesh-gogri,https://cricheroes.com/player-profile/17529483/dinesh-gogri/stats,Dinesh,25,20,0,58,11,2.9,67.44,0,0,0,2,4,25,1,1,0,1,23,Jan-23,0,0,23,23,6,4,4,3,2,1,25,0,0,0,1,0
29307090,https://cricheroes.com/player-profile/29307090/divyang-shah,https://cricheroes.com/player-profile/29307090/divyang-shah/stats,Divyang,16,16,0,77,21,4.81,79.38,0,0,0,8,4,16,3,2.3,0,0,20,0/4,0,0,8,0,0,1,4,7,0,1,16,1,0,0,0,0
39732201,https://cricheroes.com/player-profile/39732201/gaurav-mehta,https://cricheroes.com/player-profile/39732201/gaurav-mehta/stats,Gaurav,10,5,2,1,1,0.33,25,0,0,0,0,0,10,8,8,0,8,37,02-Jan,0,0,4.62,4.63,6,3,1,32,2,2,10,0,0,2,0,0
13053510,https://cricheroes.com/player-profile/13053510/hardik-shah,https://cricheroes.com/player-profile/13053510/hardik-shah/stats,Hardik,64,61,4,185,14,3.25,85.65,0,0,0,9,8,64,6,6,0,2,23,01-Mar,0,0,3.83,11.5,18,3,0,19,1,0,64,9,5,11,2,0
1790991,https://cricheroes.com/player-profile/1790991/hardik-kanabar,https://cricheroes.com/player-profile/1790991/hardik-kanabar/stats,Hardik,316,251,69,1891,37,10.39,130.68,5,0,0,77,115,316,215,209.4,0,176,1928,04-Apr,8,0,9.2,10.95,7.15,112,69,501,60,132,316,119,9,77,11,5
13053390,https://cricheroes.com/player-profile/13053390/hariom-joshi,https://cricheroes.com/player-profile/13053390/hariom-joshi/stats,Hariom,99,62,14,279,29,5.81,112.5,0,0,0,8,20,99,66,64.3,0,54,711,03-Feb,4,0,11.02,13.17,7.17,29,71,160,38,42,99,9,0,14,5,0
12957995,https://cricheroes.com/player-profile/12957995/heet,https://cricheroes.com/player-profile/12957995/heet/stats,Heet,45,40,7,182,16,5.52,94.79,0,0,0,5,12,45,5,4.1,0,3,52,02-May,0,0,12.48,17.33,8.33,0,0,6,6,3,45,10,0,6,0,0
30834015,https://cricheroes.com/player-profile/30834015/hemal-kanakia-pg,https://cricheroes.com/player-profile/30834015/hemal-kanakia-pg/stats,Hemal,13,11,2,33,9,3.67,94.29,0,0,0,1,2,13,6,5.4,0,7,76,03-Oct,1,0,13.41,10.86,4.86,7,4,12,3,6,13,1,0,2,0,0
2047860,https://cricheroes.com/player-profile/2047860/hiren-soni,https://cricheroes.com/player-profile/2047860/hiren-soni/stats,Hiren,93,80,22,548,41,9.45,100,5,0,0,34,18,93,69,108.2,1,66,865,Apr-15,5,0,7.98,13.11,9.85,53,9,284,66,33,93,31,0,6,3,1
11591228,https://cricheroes.com/player-profile/11591228/hitendra-jain,https://cricheroes.com/player-profile/11591228/hitendra-jain/stats,Hitendra,35,17,7,37,9,3.7,108.82,0,0,0,0,4,35,33,32.5,1,25,209,2/0,0,0,6.37,8.36,7.88,27,9,109,10,10,35,5,0,7,3,0
